title,company_name,city,seniority_level,salary_min,salary_max
Mid Data Analyst - Finance,SumUp,Berlin,Middle or undefined,,
Senior Consultant (m/w/d) Data Warehouse Design | Senior Data Analyst,MID,Nürnberg,Senior,,
Working Student (f/m/d) - Revenue Operations Data Analyst,A2MAC1,München,Middle or undefined,,
Data Analyst (M/W/D),base camp management consulting,München,Middle or undefined,,
DATA ANALYST (f/m/d),360 Treasury Systems AG,Frankfurt am Main,Middle or undefined,,
Data Analyst (m/w/d),Guldberg,Weeze,Middle or undefined,,
Data Analyst (m/w/d),Eucon,Münster,Middle or undefined,,
Metrics Data Analyst-Washington DC,Serco,Baumholder,Middle or undefined,,
Data Analyst (m/w/d),Creditplus Bank AG,Berlin,Middle or undefined,65000.0,75000.0
Data Analyst ( M/F/D ),LYNX Berlin,Berlin,Middle or undefined,,
Data Analyst (w/m/d),Outdooractive,Immenstadt im Allgäu,Middle or undefined,,
Data Analyst (m/w/d),Scienion,Berlin,Middle or undefined,,
Data Analyst (m/w/d),Topmotive,Bargteheide,Middle or undefined,,
Data Analyst (m/w/d),Galileo Global Education,München,Middle or undefined,,
Data Analyst (m/w/d),Nussbaum Medien St. Leon-Rot & Co. KG,Walldorf,Middle or undefined,,
Data Analyst (w/m/d),KIND & Co. KG,Burgwedel,Middle or undefined,,
Data Analyst (m/w/d),Michelin,Lochmühle,Middle or undefined,,
Data Analyst (m/w/d),FERCHAU GmbH,Gartenstadt/Stadtweide,Middle or undefined,,
Data Analyst (m/w/d),PM Personal GmbH,Pliensauvorstadt,Middle or undefined,,
Data Analyst (m/w/d),Transdev GmbH,Berlin,Middle or undefined,,
Data Analyst (m/w/d),happyhotel,Offenburg,Middle or undefined,,
Data Analyst (m/w/d),Gläserne Molkerei,Märkisch Buchholz,Middle or undefined,,
"Staff Data Analyst, Supply Chain",Quince,Berlin,Middle or undefined,110000.0,125000.0
Metrics Data Analyst-Washington DC,Serco,Bruch,Middle or undefined,,
Data Analyst (m/w/d),PM Personal,Pliensauvorstadt,Middle or undefined,,
Metrics Data Analyst-Washington DC,Serco,Baumholder,Middle or undefined,,
Metrics Data Analyst-Washington DC,Serco,Bodenbach,Middle or undefined,,
Junior Data Analyst - Consumer Marketing,VB Consulting,Berlin,Junior,,
Data Analyst (m/f/d),Redcare Pharmacy,Altstadt-Nord,Middle or undefined,,
Data Analyst (m/w/d),Randstad Deutschland,Ostfildern,Middle or undefined,,
Data Analyst (w/m/d),iVentureGroup GmbH,Hamburg,Middle or undefined,,
"Staff Data Analyst, Marketing Analytics",GetYourGuide,Berlin,Middle or undefined,,
Senior Data Analyst I (m/f/d),RELX INC,Frankfurt am Main,Senior,,
Senior Data Analyst (m/f/d),ClimatePartner,München,Senior,,
(Senior) Data Analyst (m/f/d),OMMAX,München,Senior,,
GHG Data Analyst (m/w/d),FRONERI Ice Cream Deutschland,Kalkhügel,Middle or undefined,,
Data Analyst (m/w/d) Sales,Creditplus Bank AG,Berlin,Middle or undefined,60000.0,68000.0
Data Analyst (m/w/d) in Weeze,Personalhaus Bielefeld & Co. KG,Weeze,Middle or undefined,,
Fachinformatiker | Data Analyst m/w/d,SPIE Efficient Facilities,Düsseldorf,Middle or undefined,,
Master Data Analyst (m/w/d),VAROPreem,Hamburg,Middle or undefined,,
Senior Data Analyst (m/f/d),DISH Digital Solutions,Düsseldorf,Senior,,
Senior Data Analyst (f/m/d),applike group,Hamburg,Senior,,
Senior Data Analyst (m/w/d),FERCHAU GmbH,Steinbecker Vorstadt,Senior,,
Senior Data Analyst (m/w/d),jobvalley,Düsseldorf,Senior,,
Strategic Data Analyst (m/w/d),MMC,Burg-Grambke,Middle or undefined,60000.0,75000.0
Senior Data Analyst (m/f/x),Atolls,Berlin,Senior,,
SAP Ariba Catalog and Data Analyst,N Consulting Ltd,Kirdorf,Middle or undefined,130000.0,143000.0
SAP Ariba Catalog and Data Analyst,N Consulting Ltd,Kirdorf,Middle or undefined,169000.0,187200.0
Operations Data Analyst (m/w/d),Mann & Schröder,Siegelsbach,Middle or undefined,,
Data Analyst Gasturbinen (m/w/d),grey engineering GmbH,Eppinghofen,Middle or undefined,70000.0,85000.0
Senior Data Analyst (w/m/d),Zasta Karriere,Berlin,Senior,,
Investment Data Analyst (m/w/d),Allianz,Haar,Middle or undefined,,
BI / Data Analyst (m/w/d),Legalhero,Berlin,Middle or undefined,,
Data Analyst (m/w/d) Lebensversicherung,BANKPOWER GmbH Personaldienstleistungen - Hamburg,Hamburg,Middle or undefined,,
(Junior) Data Analyst (w/m/d),MSR Consulting Group,Köln,Junior,,
Senior Data Analyst (m/w/d),XING,Hamburg,Senior,60000.0,75000.0
(Junior) Data Analyst (m/w/d),Energieversorger für Ökostrom und Gas,Grünwald,Junior,,
Senior Data Analyst (f/m/d),think-cell Software,Berlin,Senior,,
Master Data Analyst (m/w/d),AlphaConsult KG,Heidenheim (Kreis),Middle or undefined,,
Business Data Analyst (w/m/d),DENIC eG,Westend-Süd,Middle or undefined,,
Data Analyst (M/W/D) Procurement,KNDS Deutschland,Am Sandkopf,Middle or undefined,,
